Test,Run,Value
1,1,150.00
1,2,202.75
1,3,108.25
1,4,96.50
1,5,91.50
1,6,97.00
1,7,127.25
1,8,123.25
1,9,99.50
1,10,127.50
1,11,147.00
1,12,116.00
1,13,125.50
1,14,128.25
1,15,121.00
1,16,130.75
1,17,176.75
1,18,177.25
1,19,193.00
1,20,117.50
1,21,116.75
1,22,227.25
1,23,154.50
1,24,200.00
1,25,238.25
1,26,200.25
1,27,158.75
1,28,122.50
1,29,126.75
1,30,131.50
1,31,136.25
1,32,119.00
1,33,109.50
1,34,249.75
1,35,101.25
1,36,158.00
1,37,222.75
1,38,123.75
1,39,113.50
1,40,103.75
1,41,109.25
1,42,189.25
1,43,171.75
1,44,121.75
1,45,173.00
1,46,117.75
1,47,155.00
1,48,125.50
1,49,120.00
1,50,123.75
1,51,118.00
1,52,314.00
1,53,180.75
1,54,222.00
1,55,225.25
1,56,138.75
1,57,169.75
1,58,179.25
1,59,550.00
1,60,119.25
1,61,383.75
1,62,126.75
1,63,96.75
1,64,116.75
1,65,110.50
1,66,164.75
1,67,321.50
1,68,113.00
1,69,119.50
1,70,287.50
1,71,374.00
1,72,169.75
1,73,146.25
1,74,165.00
1,75,117.00
1,76,104.00
1,77,104.25
1,78,112.25
1,79,134.25
1,80,194.25
1,81,189.00
1,82,171.50
1,83,111.75
1,84,117.25
1,85,187.25
1,86,255.50
1,87,120.00
1,88,122.00
1,89,163.00
1,90,98.50
1,91,131.00
1,92,133.25
1,93,179.00
1,94,235.50
1,95,111.00
1,96,103.25
1,97,187.50
1,98,211.00
1,99,201.25
1,100,295.75
1,Average,161.80500000000000000000
2,1,39.88
2,2,27.53
2,3,35.69
2,4,38.66
2,5,30.47
2,6,23.41
2,7,38.84
2,8,26.62
2,9,31.66
2,10,28.44
2,11,20.91
2,12,26.69
2,13,30.56
2,14,47.91
2,15,40.69
2,16,23.03
2,17,18.28
2,18,21.06
2,19,34.22
2,20,23.53
2,21,48.22
2,22,24.75
2,23,22.84
2,24,27.50
2,25,44.78
2,26,31.56
2,27,28.19
2,28,21.34
2,29,22.47
2,30,24.56
2,31,32.25
2,32,32.56
2,33,48.97
2,34,35.56
2,35,27.03
2,36,41.66
2,37,20.91
2,38,29.38
2,39,21.50
2,40,21.41
2,41,37.44
2,42,25.78
2,43,20.91
2,44,66.47
2,45,32.16
2,46,43.75
2,47,21.00
2,48,21.94
2,49,26.16
2,50,30.56
2,51,22.38
2,52,20.81
2,53,47.97
2,54,22.97
2,55,20.94
2,56,39.62
2,57,55.91
2,58,22.94
2,59,33.19
2,60,30.00
2,61,26.31
2,62,26.94
2,63,52.22
2,64,33.72
2,65,32.50
2,66,69.12
2,67,31.34
2,68,19.16
2,69,32.19
2,70,26.22
2,71,23.16
2,72,27.19
2,73,23.84
2,74,24.66
2,75,29.56
2,76,35.53
2,77,38.12
2,78,33.91
2,79,18.22
2,80,23.62
2,81,21.81
2,82,23.50
2,83,28.84
2,84,42.72
2,85,21.91
2,86,24.75
2,87,38.78
2,88,25.84
2,89,25.38
2,90,32.09
2,91,29.41
2,92,37.78
2,93,18.06
2,94,31.38
2,95,29.09
2,96,31.44
2,97,25.91
2,98,24.84
2,99,21.84
2,100,37.19
2,Average,30.58510000000000000000
3,1,14.13
3,2,23.77
3,3,11.69
3,4,15.57
3,5,19.43
3,6,11.90
3,7,12.18
3,8,14.06
3,9,16.93
3,10,12.74
3,11,12.18
3,12,16.68
3,13,12.67
3,14,11.85
3,15,13.01
3,16,16.60
3,17,20.69
3,18,19.03
3,19,11.62
3,20,14.35
3,21,13.37
3,22,11.42
3,23,11.89
3,24,12.40
3,25,12.28
3,26,13.05
3,27,22.19
3,28,10.24
3,29,11.69
3,30,22.74
3,31,11.54
3,32,11.26
3,33,12.01
3,34,12.48
3,35,22.10
3,36,12.50
3,37,13.40
3,38,22.72
3,39,11.98
3,40,11.05
3,41,12.14
3,42,13.26
3,43,12.67
3,44,11.36
3,45,13.98
3,46,12.69
3,47,28.57
3,48,13.10
3,49,12.99
3,50,10.91
3,51,15.99
3,52,11.46
3,53,14.45
3,54,11.12
3,55,31.55
3,56,13.13
3,57,10.61
3,58,11.80
3,59,11.34
3,60,13.47
3,61,15.13
3,62,13.76
3,63,12.77
3,64,11.89
3,65,12.63
3,66,13.23
3,67,12.74
3,68,12.13
3,69,13.73
3,70,14.50
3,71,13.82
3,72,13.68
3,73,13.20
3,74,13.50
3,75,18.35
3,76,10.57
3,77,11.45
3,78,12.13
3,79,12.26
3,80,10.55
3,81,13.66
3,82,11.60
3,83,12.35
3,84,22.80
3,85,12.81
3,86,11.36
3,87,11.90
3,88,10.75
3,89,11.62
3,90,13.19
3,91,11.63
3,92,12.16
3,93,13.00
3,94,18.50
3,95,13.10
3,96,12.52
3,97,10.75
3,98,13.73
3,99,11.27
3,100,11.11
3,Average,13.91810000000000000000
4,1,10.24
4,2,11.39
4,3,11.30
4,4,12.22
4,5,10.54
4,6,12.73
4,7,13.16
4,8,14.32
4,9,13.40
4,10,14.17
4,11,11.16
4,12,12.15
4,13,12.79
4,14,12.85
4,15,12.87
4,16,12.44
4,17,13.12
4,18,16.99
4,19,12.96
4,20,13.27
4,21,12.78
4,22,11.57
4,23,18.95
4,24,11.24
4,25,9.37
4,26,11.88
4,27,12.50
4,28,12.97
4,29,11.99
4,30,11.73
4,31,8.60
4,32,11.20
4,33,9.88
4,34,11.35
4,35,10.83
4,36,15.70
4,37,11.35
4,38,12.46
4,39,11.62
4,40,17.70
4,41,10.40
4,42,40.01
4,43,11.51
4,44,10.78
4,45,13.70
4,46,9.63
4,47,11.65
4,48,10.63
4,49,22.04
4,50,10.25
4,51,12.08
4,52,11.38
4,53,8.60
4,54,13.10
4,55,11.11
4,56,11.11
4,57,15.28
4,58,10.70
4,59,10.88
4,60,11.40
4,61,8.57
4,62,9.24
4,63,10.53
4,64,11.93
4,65,18.92
4,66,18.85
4,67,10.44
4,68,11.69
4,69,11.91
4,70,10.75
4,71,27.26
4,72,19.30
4,73,9.57
4,74,12.04
4,75,12.63
4,76,9.34
4,77,14.38
4,78,12.17
4,79,11.47
4,80,13.05
4,81,9.89
4,82,11.25
4,83,10.23
4,84,11.94
4,85,14.16
4,86,11.21
4,87,10.16
4,88,10.84
4,89,11.00
4,90,10.96
4,91,11.79
4,92,10.50
4,93,12.03
4,94,12.64
4,95,11.80
4,96,11.37
4,97,10.58
4,98,11.10
4,99,11.58
4,100,12.50
4,Average,12.57550000000000000000
5,1,10.05
5,2,26.86
5,3,10.57
5,4,11.09
5,5,13.16
5,6,9.03
5,7,9.45
5,8,10.98
5,9,17.34
5,10,11.24
5,11,14.68
5,12,13.10
5,13,10.01
5,14,10.29
5,15,14.92
5,16,12.30
5,17,19.79
5,18,10.01
5,19,10.23
5,20,17.45
5,21,21.30
5,22,11.34
5,23,11.36
5,24,12.97
5,25,22.22
5,26,14.79
5,27,19.24
5,28,12.60
5,29,12.90
5,30,11.46
5,31,10.94
5,32,10.86
5,33,16.17
5,34,10.07
5,35,20.31
5,36,20.42
5,37,12.23
5,38,10.97
5,39,12.09
5,40,10.28
5,41,9.92
5,42,9.64
5,43,11.09
5,44,10.67
5,45,10.11
5,46,10.24
5,47,10.14
5,48,13.44
5,49,9.94
5,50,9.65
5,51,10.10
5,52,10.73
5,53,10.11
5,54,9.89
5,55,10.35
5,56,9.55
5,57,13.95
5,58,9.28
5,59,9.74
5,60,10.86
5,61,22.07
5,62,10.90
5,63,9.35
5,64,10.00
5,65,33.56
5,66,11.15
5,67,9.72
5,68,10.09
5,69,10.28
5,70,10.82
5,71,9.05
5,72,30.67
5,73,9.81
5,74,9.89
5,75,11.27
5,76,11.94
5,77,11.44
5,78,11.18
5,79,25.46
5,80,15.49
5,81,15.55
5,82,11.67
5,83,19.71
5,84,10.78
5,85,10.73
5,86,16.77
5,87,11.67
5,88,21.16
5,89,11.33
5,90,10.03
5,91,11.76
5,92,35.48
5,93,17.33
5,94,9.50
5,95,10.65
5,96,11.16
5,97,11.53
5,98,11.05
5,99,11.99
5,100,11.47
5,Average,13.21930000000000000000
